iter	Passed	Remaining
0	26	80140
1	60	90616
2	95	95184
3	108	81469
4	137	82189
5	168	84320
6	201	86217
7	227	85105
8	241	80375
9	273	81729
10	305	83018
11	342	85309
12	380	87404
13	422	90197
14	459	91407
15	494	92295
16	530	93107
17	563	93351
18	595	93420
19	616	91830
20	646	91715
21	679	91941
22	720	93193
23	766	95050
24	805	95900
25	838	95940
26	875	96350
27	909	96570
28	942	96598
29	987	97737
30	1028	98507
31	1077	99927
32	1121	100791
33	1144	99829
34	1193	101138
35	1242	102324
36	1276	102237
37	1308	102031
38	1338	101587
39	1365	101048
40	1395	100680
41	1426	100499
42	1460	100400
43	1481	99550
44	1510	99164
45	1536	98689
46	1562	98199
47	1590	97846
48	1623	97778
49	1642	96891
50	1672	96703
51	1698	96274
52	1728	96088
53	1758	95958
54	1787	95699
55	1818	95581
56	1849	95508
57	1881	95437
58	1916	95535
59	1949	95517
60	1978	95320
61	2012	95370
62	2031	94727
63	2063	94655
64	2095	94606
65	2130	94703
66	2179	95397
67	2211	95363
68	2244	95363
69	2275	95241
70	2306	95143
71	2338	95110
72	2370	95062
73	2384	94284
74	2417	94267
75	2448	94215
76	2478	94099
77	2506	93887
78	2533	93687
79	2559	93433
80	2580	93007
81	2605	92729
82	2633	92558
83	2663	92476
84	2695	92456
85	2714	91972
86	2748	92043
87	2803	92762
88	2838	92842
89	2870	92815
90	2907	92953
91	2951	93284
92	2986	93343
93	3009	93036
94	3053	93385
95	3082	93252
96	3107	93000
97	3140	92990
98	3176	93077
99	3212	93166
100	3243	93088
101	3272	92963
102	3300	92818
103	3327	92658
104	3356	92534
105	3380	92301
106	3406	92113
107	3432	91926
108	3459	91750
109	3484	91541
110	3509	91331
111	3534	91137
112	3561	90982
113	3589	90867
114	3615	90713
115	3641	90547
116	3668	90400
117	3693	90211
118	3718	90036
119	3743	89851
120	3771	89729
121	3796	89559
122	3823	89438
123	3851	89324
124	3877	89193
125	3906	89104
126	3934	88998
127	3961	88883
128	4000	89027
129	4037	89130
130	4070	89152
131	4106	89221
132	4139	89242
133	4174	89283
134	4191	88943
135	4223	88940
136	4255	88928
137	4277	88719
138	4309	88692
139	4349	88857
140	4391	89035
141	4431	89200
142	4471	89334
143	4504	89337
144	4540	89409
145	4580	89530
146	4615	89576
147	4649	89602
148	4683	89623
149	4715	89597
150	4748	89600
151	4781	89598
152	4813	89576
153	4846	89556
154	4879	89569
155	4912	89552
156	4944	89537
157	4976	89513
158	5010	89535
159	5038	89426
160	5067	89349
161	5104	89422
162	5140	89463
163	5176	89520
164	5207	89470
165	5243	89517
166	5275	89499
167	5303	89406
168	5330	89299
169	5356	89165
170	5382	89046
171	5410	88964
172	5441	88913
173	5461	88698
174	5495	88709
175	5534	88799
176	5575	88918
177	5607	88898
178	5637	88846
179	5693	89193
180	5733	89292
181	5758	89163
182	5791	89154
183	5819	89066
184	5840	88862
185	5869	88800
186	5909	88889
187	5949	88990
188	5984	89004
189	6017	88999
190	6049	88970
191	6080	88929
192	6117	88973
193	6149	88943
194	6183	88948
195	6209	88831
196	6240	88799
197	6267	88693
198	6298	88653
199	6337	88724
200	6365	88636
201	6395	88584
202	6428	88572
203	6450	88414
204	6478	88328
205	6511	88311
206	6538	88218
207	6563	88106
208	6590	88008
209	6615	87896
210	6644	87820
211	6670	87717
212	6696	87618
213	6723	87527
214	6749	87435
215	6781	87408
216	6809	87329
217	6836	87237
218	6860	87124
219	6883	86986
220	6909	86890
221	6934	86778
222	6961	86689
223	7004	86799
224	7029	86697
225	7055	86605
226	7081	86506
227	7108	86423
228	7134	86326
229	7159	86229
230	7187	86157
231	7213	86061
232	7240	85982
233	7268	85911
234	7294	85823
235	7320	85735
236	7345	85633
237	7371	85545
238	7396	85446
239	7425	85392
240	7446	85243
241	7472	85160
242	7502	85121
243	7530	85053
244	7555	84965
245	7581	84872
246	7607	84792
247	7634	84714
248	7659	84619
249	7686	84551
250	7711	84457
251	7737	84370
252	7762	84283
253	7788	84206
254	7815	84132
255	7841	84054
256	7868	83986
257	7895	83908
258	7921	83833
259	7948	83769
260	7973	83673
261	8000	83609
262	8026	83534
263	8052	83455
264	8079	83385
265	8104	83300
266	8131	83231
267	8156	83142
268	8181	83058
269	8205	82964
270	8232	82898
271	8257	82820
272	8287	82779
273	8331	82884
274	8372	82960
275	8416	83064
276	8453	83101
277	8490	83134
278	8513	83031
279	8544	83006
280	8572	82947
281	8603	82927
282	8636	82912
283	8668	82898
284	8697	82852
285	8730	82848
286	8760	82814
287	8791	82783
288	8823	82768
289	8856	82765
290	8886	82731
291	8911	82644
292	8940	82597
293	8968	82549
294	8997	82501
295	9028	82475
296	9057	82435
297	9092	82444
298	9136	82534
299	9165	82491
300	9192	82425
301	9216	82341
302	9242	82271
303	9270	82211
304	9299	82167
305	9332	82159
306	9359	82103
307	9386	82042
308	9413	81976
309	9438	81906
310	9463	81826
311	9490	81761
312	9515	81689
313	9541	81620
314	9568	81557
315	9594	81494
316	9638	81581
317	9672	81573
318	9701	81536
319	9734	81528
320	9765	81504
321	9786	81394
322	9819	81384
323	9857	81417
324	9894	81436
325	9929	81446
326	9963	81447
327	9998	81451
328	10037	81486
329	10073	81504
330	10105	81487
331	10141	81500
332	10180	81532
333	10208	81486
334	10241	81470
335	10271	81438
336	10326	81599
337	10360	81596
338	10393	81587
339	10428	81590
340	10467	81625
341	10507	81666
342	10535	81608
343	10560	81536
344	10586	81470
345	10614	81421
346	10643	81372
347	10669	81312
348	10698	81268
349	10724	81200
350	10749	81129
351	10775	81063
352	10802	81001
353	10831	80962
354	10859	80914
355	10886	80851
356	10914	80800
357	10956	80856
358	10986	80821
359	11013	80762
360	11041	80712
361	11071	80679
362	11098	80626
363	11120	80535
364	11148	80480
365	11177	80438
366	11205	80391
367	11232	80336
368	11256	80258
369	11283	80204
370	11308	80138
371	11329	80039
372	11354	79967
373	11381	79916
374	11408	79857
375	11433	79790
376	11458	79726
377	11485	79670
378	11512	79612
379	11537	79547
380	11565	79499
381	11592	79449
382	11617	79382
383	11643	79324
384	11669	79258
385	11698	79220
386	11724	79164
387	11750	79105
388	11777	79049
389	11804	78997
390	11829	78933
391	11854	78868
392	11881	78817
393	11908	78765
394	11936	78717
395	11961	78654
396	11987	78595
